network,year,transition,stdiv
Oznet,2006,Start of wetting,7.10787782720821
Oznet,2007,Start of wetting,12.8718237133463
Oznet,2008,Start of wetting,36.8016135099175
Oznet,2009,Start of wetting,48.3101108148736
Oznet,2010,Start of wetting,54.7210798801483
Oznet,2011,Start of wetting,16.1750495059555
Oznet,2012,Start of wetting,36.0840678742098
Oznet,2013,Start of wetting,45.7239459439747
Oznet,2014,Start of wetting,45.7946517220979
Oznet,2016,Start of wetting,24.6024207825875
Oznet,2017,Start of wetting,49.9505543361126
Oznet,2018,Start of wetting,26.7912578129735
USCRN,2009,Start of wetting,0
USCRN,2010,Start of wetting,49.7475299310231
USCRN,2011,Start of wetting,56.3675189449779
USCRN,2012,Start of wetting,43.9292307199369
USCRN,2013,Start of wetting,52.5292375497473
USCRN,2014,Start of wetting,48.7982738468338
USCRN,2015,Start of wetting,48.6303414294874
USCRN,2016,Start of wetting,52.416782973714
USCRN,2017,Start of wetting,61.677467480637
USCRN,2018,Start of wetting,33.4123918044579
SCAN,2000,Start of wetting,89.7649991839104
SCAN,2001,Start of wetting,53.0634537938383
SCAN,2002,Start of wetting,62.0847084881669
SCAN,2003,Start of wetting,32.9491083558827
SCAN,2004,Start of wetting,20.7326814248749
SCAN,2005,Start of wetting,48.3322083491888
SCAN,2006,Start of wetting,43.9918830645446
SCAN,2007,Start of wetting,50.8854840368185
SCAN,2008,Start of wetting,43.7828264433265
SCAN,2009,Start of wetting,49.9167347087535
SCAN,2010,Start of wetting,56.7108924156581
SCAN,2011,Start of wetting,82.1259172234982
SCAN,2012,Start of wetting,65.0044633888751
SCAN,2013,Start of wetting,69.0336333096632
SCAN,2014,Start of wetting,62.1524550313561
SCAN,2015,Start of wetting,64.4383819762592
SCAN,2016,Start of wetting,63.4018681539458
SCAN,2017,Start of wetting,55.193876259736
SCAN,2018,Start of wetting,41.0951035666304
SCAN,2019,Start of wetting,35.2088885477273
Oznet,2006,End of wetting,7.10787782720821
Oznet,2007,End of wetting,12.8718237133463
Oznet,2008,End of wetting,36.8016135099175
Oznet,2009,End of wetting,48.3101108148736
Oznet,2010,End of wetting,54.7210798801483
Oznet,2011,End of wetting,16.1750495059555
Oznet,2012,End of wetting,36.0840678742098
Oznet,2013,End of wetting,45.7239459439747
Oznet,2014,End of wetting,45.7946517220979
Oznet,2016,End of wetting,24.6024207825875
Oznet,2017,End of wetting,49.9505543361126
Oznet,2018,End of wetting,26.7912578129735
USCRN,2009,End of wetting,0
USCRN,2010,End of wetting,49.7475299310231
USCRN,2011,End of wetting,56.3675189449779
USCRN,2012,End of wetting,43.9292307199369
USCRN,2013,End of wetting,52.5292375497473
USCRN,2014,End of wetting,48.7982738468338
USCRN,2015,End of wetting,48.6303414294874
USCRN,2016,End of wetting,52.416782973714
USCRN,2017,End of wetting,61.677467480637
USCRN,2018,End of wetting,33.4123918044579
SCAN,2000,End of wetting,89.7649991839104
SCAN,2001,End of wetting,53.0634537938383
SCAN,2002,End of wetting,62.0847084881669
SCAN,2003,End of wetting,32.9491083558827
SCAN,2004,End of wetting,20.7326814248749
SCAN,2005,End of wetting,48.3322083491888
SCAN,2006,End of wetting,43.9918830645446
SCAN,2007,End of wetting,50.8854840368185
SCAN,2008,End of wetting,43.7828264433265
SCAN,2009,End of wetting,49.9167347087535
SCAN,2010,End of wetting,56.7108924156581
SCAN,2011,End of wetting,82.1259172234982
SCAN,2012,End of wetting,65.0044633888751
SCAN,2013,End of wetting,69.0336333096632
SCAN,2014,End of wetting,62.1524550313561
SCAN,2015,End of wetting,64.4383819762592
SCAN,2016,End of wetting,63.4018681539458
SCAN,2017,End of wetting,55.193876259736
SCAN,2018,End of wetting,41.0951035666304
SCAN,2019,End of wetting,35.2088885477273
Oznet,2006,Start of drying,7.10787782720821
Oznet,2007,Start of drying,12.8718237133463
Oznet,2008,Start of drying,36.8016135099175
Oznet,2009,Start of drying,48.3101108148736
Oznet,2010,Start of drying,54.7210798801483
Oznet,2011,Start of drying,16.1750495059555
Oznet,2012,Start of drying,36.0840678742098
Oznet,2013,Start of drying,45.7239459439747
Oznet,2014,Start of drying,45.7946517220979
Oznet,2016,Start of drying,24.6024207825875
Oznet,2017,Start of drying,49.9505543361126
Oznet,2018,Start of drying,26.7912578129735
USCRN,2009,Start of drying,0
USCRN,2010,Start of drying,49.7475299310231
USCRN,2011,Start of drying,56.3675189449779
USCRN,2012,Start of drying,43.9292307199369
USCRN,2013,Start of drying,52.5292375497473
USCRN,2014,Start of drying,48.7982738468338
USCRN,2015,Start of drying,48.6303414294874
USCRN,2016,Start of drying,52.416782973714
USCRN,2017,Start of drying,61.677467480637
USCRN,2018,Start of drying,33.4123918044579
SCAN,2000,Start of drying,89.7649991839104
SCAN,2001,Start of drying,53.0634537938383
SCAN,2002,Start of drying,62.0847084881669
SCAN,2003,Start of drying,32.9491083558827
SCAN,2004,Start of drying,20.7326814248749
SCAN,2005,Start of drying,48.3322083491888
SCAN,2006,Start of drying,43.9918830645446
SCAN,2007,Start of drying,50.8854840368185
SCAN,2008,Start of drying,43.7828264433265
SCAN,2009,Start of drying,49.9167347087535
SCAN,2010,Start of drying,56.7108924156581
SCAN,2011,Start of drying,82.1259172234982
SCAN,2012,Start of drying,65.0044633888751
SCAN,2013,Start of drying,69.0336333096632
SCAN,2014,Start of drying,62.1524550313561
SCAN,2015,Start of drying,64.4383819762592
SCAN,2016,Start of drying,63.4018681539458
SCAN,2017,Start of drying,55.193876259736
SCAN,2018,Start of drying,41.0951035666304
SCAN,2019,Start of drying,35.2088885477273
Oznet,2006,End of drying,7.10787782720821
Oznet,2007,End of drying,12.8718237133463
Oznet,2008,End of drying,36.8016135099175
Oznet,2009,End of drying,48.3101108148736
Oznet,2010,End of drying,54.7210798801483
Oznet,2011,End of drying,16.1750495059555
Oznet,2012,End of drying,36.0840678742098
Oznet,2013,End of drying,45.7239459439747
Oznet,2014,End of drying,45.7946517220979
Oznet,2016,End of drying,24.6024207825875
Oznet,2017,End of drying,49.9505543361126
Oznet,2018,End of drying,26.7912578129735
USCRN,2009,End of drying,0
USCRN,2010,End of drying,49.7475299310231
USCRN,2011,End of drying,56.3675189449779
USCRN,2012,End of drying,43.9292307199369
USCRN,2013,End of drying,52.5292375497473
USCRN,2014,End of drying,48.7982738468338
USCRN,2015,End of drying,48.6303414294874
USCRN,2016,End of drying,52.416782973714
USCRN,2017,End of drying,61.677467480637
USCRN,2018,End of drying,33.4123918044579
SCAN,2000,End of drying,89.7649991839104
SCAN,2001,End of drying,53.0634537938383
SCAN,2002,End of drying,62.0847084881669
SCAN,2003,End of drying,32.9491083558827
SCAN,2004,End of drying,20.7326814248749
SCAN,2005,End of drying,48.3322083491888
SCAN,2006,End of drying,43.9918830645446
SCAN,2007,End of drying,50.8854840368185
SCAN,2008,End of drying,43.7828264433265
SCAN,2009,End of drying,49.9167347087535
SCAN,2010,End of drying,56.7108924156581
SCAN,2011,End of drying,82.1259172234982
SCAN,2012,End of drying,65.0044633888751
SCAN,2013,End of drying,69.0336333096632
SCAN,2014,End of drying,62.1524550313561
SCAN,2015,End of drying,64.4383819762592
SCAN,2016,End of drying,63.4018681539458
SCAN,2017,End of drying,55.193876259736
SCAN,2018,End of drying,41.0951035666304
SCAN,2019,End of drying,35.2088885477273
all networks average,all year average,all season average,46.2455427649256
